ukprn,year,measure,group,number,provider
10007156,2018/19,domicile,UK,19010,The University of Salford
10007156,2018/19,domicile,European Union,550,The University of Salford
10007156,2018/19,domicile,Non-European Union,1255,The University of Salford
10007156,2018/19,domicile,Not known,0,The University of Salford
10021256,2018/19,domicile,UK,35,William Booth College
10021256,2018/19,domicile,European Union,0,William Booth College
10021256,2018/19,domicile,Non-European Union,0,William Booth College
10021256,2018/19,domicile,Not known,0,William Booth College
10008362,2018/19,domicile,UK,1465,London School of Science and Technology Limited
10008362,2018/19,domicile,European Union,0,London School of Science and Technology Limited
10008362,2018/19,domicile,Non-European Union,0,London School of Science and Technology Limited
10008362,2018/19,domicile,Not known,0,London School of Science and Technology Limited
10007780,2018/19,domicile,UK,3265,SOAS University of London
10007780,2018/19,domicile,European Union,860,SOAS University of London
10007780,2018/19,domicile,Non-European Union,1670,SOAS University of London
10007780,2018/19,domicile,Not known,10,SOAS University of London
10005700,2018/19,domicile,UK,1680,SRUC
10005700,2018/19,domicile,European Union,65,SRUC
10005700,2018/19,domicile,Non-European Union,15,SRUC
10005700,2018/19,domicile,Not known,0,SRUC
10005790,2018/19,domicile,UK,28465,Sheffield Hallam University
10005790,2018/19,domicile,European Union,485,Sheffield Hallam University
10005790,2018/19,domicile,Non-European Union,1765,Sheffield Hallam University
10005790,2018/19,domicile,Not known,0,Sheffield Hallam University
10007157,2018/19,domicile,UK,20115,The University of Sheffield
10007157,2018/19,domicile,European Union,1555,The University of Sheffield
10007157,2018/19,domicile,Non-European Union,8525,The University of Sheffield
10007157,2018/19,domicile,Not known,0,The University of Sheffield
10023458,2018/19,domicile,UK,230,The Sherwood Psychotherapy Training Institute Limited
10023458,2018/19,domicile,European Union,0,The Sherwood Psychotherapy Training Institute Limited
10023458,2018/19,domicile,Non-European Union,0,The Sherwood Psychotherapy Training Institute Limited
10023458,2018/19,domicile,Not known,0,The Sherwood Psychotherapy Training Institute Limited
10005916,2018/19,domicile,UK,85,Slough Borough Council
10005916,2018/19,domicile,European Union,0,Slough Borough Council
10005916,2018/19,domicile,Non-European Union,0,Slough Borough Council
10005916,2018/19,domicile,Not known,0,Slough Borough Council
10007158,2018/19,domicile,UK,16030,The University of Southampton
10007158,2018/19,domicile,European Union,1750,The University of Southampton
10007158,2018/19,domicile,Non-European Union,4930,The University of Southampton
10007158,2018/19,domicile,Not known,0,The University of Southampton
10006022,2018/19,domicile,UK,8090,Southampton Solent University
10006022,2018/19,domicile,European Union,1310,Southampton Solent University
10006022,2018/19,domicile,Non-European Union,510,Southampton Solent University
10006022,2018/19,domicile,Not known,0,Southampton Solent University
10006093,2018/19,domicile,UK,350,Spurgeon's College
10006093,2018/19,domicile,European Union,5,Spurgeon's College
10006093,2018/19,domicile,Non-European Union,15,Spurgeon's College
10006093,2018/19,domicile,Not known,0,Spurgeon's College
10006299,2018/19,domicile,UK,14380,University of Staffordshire
10006299,2018/19,domicile,European Union,135,University of Staffordshire
10006299,2018/19,domicile,Non-European Union,340,University of Staffordshire
10006299,2018/19,domicile,Not known,0,University of Staffordshire
10007804,2018/19,domicile,UK,9640,The University of Stirling
10007804,2018/19,domicile,European Union,1100,The University of Stirling
10007804,2018/19,domicile,Non-European Union,1730,The University of Stirling
10007804,2018/19,domicile,Not known,40,The University of Stirling
10037449,2018/19,domicile,UK,2705,University of St Mark and St John
10037449,2018/19,domicile,European Union,45,University of St Mark and St John
10037449,2018/19,domicile,Non-European Union,25,University of St Mark and St John
10037449,2018/19,domicile,Not known,0,University of St Mark and St John
10008010,2018/19,domicile,UK,1520,Stranmillis University College
10008010,2018/19,domicile,European Union,15,Stranmillis University College
10008010,2018/19,domicile,Non-European Union,0,Stranmillis University College
10008010,2018/19,domicile,Not known,0,Stranmillis University College
10007805,2018/19,domicile,UK,18485,The University of Strathclyde
10007805,2018/19,domicile,European Union,1410,The University of Strathclyde
10007805,2018/19,domicile,Non-European Union,2740,The University of Strathclyde
10007805,2018/19,domicile,Not known,0,The University of Strathclyde
10014001,2018/19,domicile,UK,7070,University of Suffolk
10014001,2018/19,domicile,European Union,510,University of Suffolk
10014001,2018/19,domicile,Non-European Union,110,University of Suffolk
10014001,2018/19,domicile,Not known,0,University of Suffolk
10007159,2018/19,domicile,UK,11930,The University of Sunderland
10007159,2018/19,domicile,European Union,1030,The University of Sunderland
10007159,2018/19,domicile,Non-European Union,1745,The University of Sunderland
10007159,2018/19,domicile,Not known,0,The University of Sunderland
10007160,2018/19,domicile,UK,11925,The University of Surrey
10007160,2018/19,domicile,European Union,1800,The University of Surrey
10007160,2018/19,domicile,Non-European Union,3085,The University of Surrey
10007160,2018/19,domicile,Not known,0,The University of Surrey
10007806,2018/19,domicile,UK,13000,The University of Sussex
10007806,2018/19,domicile,European Union,1515,The University of Sussex
10007806,2018/19,domicile,Non-European Union,4640,The University of Sussex
10007806,2018/19,domicile,Not known,0,The University of Sussex
10007855,2018/19,domicile,UK,17065,Swansea University
10007855,2018/19,domicile,European Union,1000,Swansea University
10007855,2018/19,domicile,Non-European Union,2555,Swansea University
10007855,2018/19,domicile,Not known,0,Swansea University
10007161,2018/19,domicile,UK,17100,Teesside University
10007161,2018/19,domicile,European Union,300,Teesside University
10007161,2018/19,domicile,Non-European Union,1270,Teesside University
10007161,2018/19,domicile,Not known,0,Teesside University
10037822,2018/19,domicile,UK,25,Tottenham Hotspur Foundation
10037822,2018/19,domicile,European Union,0,Tottenham Hotspur Foundation
10037822,2018/19,domicile,Non-European Union,0,Tottenham Hotspur Foundation
10037822,2018/19,domicile,Not known,0,Tottenham Hotspur Foundation
10008017,2018/19,domicile,UK,895,Trinity Laban Conservatoire of Music and Dance
10008017,2018/19,domicile,European Union,185,Trinity Laban Conservatoire of Music and Dance
10008017,2018/19,domicile,Non-European Union,110,Trinity Laban Conservatoire of Music and Dance
10008017,2018/19,domicile,Not known,0,Trinity Laban Conservatoire of Music and Dance
10007858,2018/19,domicile,UK,10510,University of Wales Trinity Saint David
10007858,2018/19,domicile,European Union,235,University of Wales Trinity Saint David
10007858,2018/19,domicile,Non-European Union,390,University of Wales Trinity Saint David
10007858,2018/19,domicile,Not known,0,University of Wales Trinity Saint David
10007114,2018/19,domicile,UK,9190,University of the Highlands and Islands
10007114,2018/19,domicile,European Union,210,University of the Highlands and Islands
10007114,2018/19,domicile,Non-European Union,125,University of the Highlands and Islands
10007114,2018/19,domicile,Not known,0,University of the Highlands and Islands
10007807,2018/19,domicile,UK,22170,Ulster University
10007807,2018/19,domicile,European Union,1605,Ulster University
10007807,2018/19,domicile,Non-European Union,750,Ulster University
10007807,2018/19,domicile,Not known,0,Ulster University
10039956,2018/19,domicile,UK,8020,The University of Law
10039956,2018/19,domicile,European Union,300,The University of Law
10039956,2018/19,domicile,Non-European Union,790,The University of Law
10039956,2018/19,domicile,Not known,0,The University of Law
10007784,2018/19,domicile,UK,21440,University College London
10007784,2018/19,domicile,European Union,5060,University College London
10007784,2018/19,domicile,Non-European Union,14520,University College London
10007784,2018/19,domicile,Not known,5,University College London
10007793,2018/19,domicile,UK,19700,University of South Wales
10007793,2018/19,domicile,European Union,1215,University of South Wales
10007793,2018/19,domicile,Non-European Union,1410,University of South Wales
10007793,2018/19,domicile,Not known,0,University of South Wales
10008574,2018/19,domicile,UK,0,The University of Wales (central functions)
10008574,2018/19,domicile,European Union,0,The University of Wales (central functions)
10008574,2018/19,domicile,Non-European Union,0,The University of Wales (central functions)
10008574,2018/19,domicile,Not known,0,The University of Wales (central functions)
10029843,2018/19,domicile,UK,45,Waltham International College Limited
10029843,2018/19,domicile,European Union,0,Waltham International College Limited
10029843,2018/19,domicile,Non-European Union,0,Waltham International College Limited
10029843,2018/19,domicile,Not known,0,Waltham International College Limited
10007163,2018/19,domicile,UK,16500,The University of Warwick
10007163,2018/19,domicile,European Union,2700,The University of Warwick
10007163,2018/19,domicile,Non-European Union,6880,The University of Warwick
10007163,2018/19,domicile,Not known,0,The University of Warwick
10007361,2018/19,domicile,UK,165,Waverley Abbey College
10007361,2018/19,domicile,European Union,0,Waverley Abbey College
10007361,2018/19,domicile,Non-European Union,0,Waverley Abbey College
10007361,2018/19,domicile,Not known,0,Waverley Abbey College
10007164,2018/19,domicile,UK,25610,"University of the West of England, Bristol"
10007164,2018/19,domicile,European Union,1040,"University of the West of England, Bristol"
10007164,2018/19,domicile,Non-European Union,2910,"University of the West of England, Bristol"
10007164,2018/19,domicile,Not known,0,"University of the West of England, Bristol"
10007800,2018/19,domicile,UK,15040,The University of the West of Scotland
10007800,2018/19,domicile,European Union,620,The University of the West of Scotland
10007800,2018/19,domicile,Non-European Union,1365,The University of the West of Scotland
10007800,2018/19,domicile,Not known,0,The University of the West of Scotland
10032288,2018/19,domicile,UK,50,West Dean College
10032288,2018/19,domicile,European Union,10,West Dean College
10032288,2018/19,domicile,Non-European Union,20,West Dean College
10032288,2018/19,domicile,Not known,0,West Dean College
10006566,2018/19,domicile,UK,9100,The University of West London
10006566,2018/19,domicile,European Union,1240,The University of West London
10006566,2018/19,domicile,Non-European Union,720,The University of West London
10006566,2018/19,domicile,Not known,0,The University of West London
10007165,2018/19,domicile,UK,12440,The University of Westminster
10007165,2018/19,domicile,European Union,2215,The University of Westminster
10007165,2018/19,domicile,Non-European Union,4225,The University of Westminster
10007165,2018/19,domicile,Not known,0,The University of Westminster
10003614,2018/19,domicile,UK,7325,The University of Winchester
10003614,2018/19,domicile,European Union,120,The University of Winchester
10003614,2018/19,domicile,Non-European Union,320,The University of Winchester
10003614,2018/19,domicile,Not known,0,The University of Winchester
10023290,2018/19,domicile,UK,180,West London College of Business and Management Sciences Limited
10023290,2018/19,domicile,European Union,0,West London College of Business and Management Sciences Limited
10023290,2018/19,domicile,Non-European Union,0,West London College of Business and Management Sciences Limited
10023290,2018/19,domicile,Not known,0,West London College of Business and Management Sciences Limited
10007166,2018/19,domicile,UK,18080,The University of Wolverhampton
10007166,2018/19,domicile,European Union,225,The University of Wolverhampton
10007166,2018/19,domicile,Non-European Union,615,The University of Wolverhampton
10007166,2018/19,domicile,Not known,0,The University of Wolverhampton
10007139,2018/19,domicile,UK,9435,University of Worcester
